group,file,value,total_weight,num_items,num_packed,is_optimal,time_sec
00Uncorrelated,00Uncorrelated/n00100/R01000/s047.kp,40984,24919,100,62,yes,0.0
00Uncorrelated,00Uncorrelated/n00100/R10000/s085.kp,414484,233309,100,66,yes,0.0
00Uncorrelated,00Uncorrelated/n00500/R10000/s096.kp,1909483,1231288,500,307,yes,0.0
00Uncorrelated,00Uncorrelated/n00200/R01000/s086.kp,79960,50562,200,126,yes,0.0
00Uncorrelated,00Uncorrelated/n00100/R01000/s060.kp,39257,22713,100,61,yes,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00200/R01000/s009.kp,51864,46603,200,103,yes,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00100/R10000/s023.kp,272389,250091,100,50,yes,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00200/R10000/s093.kp,548932,495259,200,106,yes,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00100/R10000/s020.kp,244862,219438,100,53,yes,0.0
01WeaklyCorrelated,01WeaklyCorrelated/n00500/R01000/s037.kp,138374,125080,500,260,yes,0.0
02StronglyCorrelated,02StronglyCorrelated/n00100/R10000/s012.kp,299639,227639,100,72,yes,0.38
02StronglyCorrelated,02StronglyCorrelated/n00100/R10000/s023.kp,320095,250095,100,70,yes,18.2
02StronglyCorrelated,02StronglyCorrelated/n00500/R10000/s090.kp,1581816,1229816,500,352,no,60.0
02StronglyCorrelated,02StronglyCorrelated/n00500/R10000/s089.kp,1604205,1253205,500,351,no,60.0
02StronglyCorrelated,02StronglyCorrelated/n00500/R01000/s027.kp,163206,128606,500,346,no,60.0
03InverseStronglyCorrelated,03InverseStronglyCorrelated/n00100/R01000/s044.kp,24564,27664,100,31,yes,30.89
03InverseStronglyCorrelated,03InverseStronglyCorrelated/n00200/R01000/s092.kp,55576,62076,200,65,no,60.0
03InverseStronglyCorrelated,03InverseStronglyCorrelated/n00100/R01000/s054.kp,27127,30227,100,31,yes,0.44
03InverseStronglyCorrelated,03InverseStronglyCorrelated/n00500/R01000/s016.kp,127688,142788,500,151,no,60.0
03InverseStronglyCorrelated,03InverseStronglyCorrelated/n00500/R01000/s068.kp,133217,148917,500,157,no,60.0
04AlmostStronglyCorrelated,04AlmostStronglyCorrelated/n00200/R01000/s069.kp,63119,49114,200,140,no,60.0
04AlmostStronglyCorrelated,04AlmostStronglyCorrelated/n00200/R01000/s064.kp,62205,48005,200,142,no,60.0
04AlmostStronglyCorrelated,04AlmostStronglyCorrelated/n00100/R01000/s058.kp,31718,24819,100,69,no,60.0
04AlmostStronglyCorrelated,04AlmostStronglyCorrelated/n00200/R01000/s043.kp,64215,50333,200,139,no,60.0
04AlmostStronglyCorrelated,04AlmostStronglyCorrelated/n00100/R10000/s019.kp,296791,225775,100,71,yes,0.05
05SubsetSum,05SubsetSum/n00100/R10000/s073.kp,237227,237227,100,51,yes,0.0
05SubsetSum,05SubsetSum/n00200/R10000/s004.kp,493884,493884,200,104,yes,0.0
