,alphabeta,minimax,expectimax
medium classic(23521421),"1929, win, 2.38564395904541","1929, loss, 2.7298295497894287","1518, win, 2.8022260665893555"
medium classic(23521422),"1727, win, 2.484457015991211","1727, win, 2.7661068439483643","1515, win, 2.744891405105591"
medium classic(23521423),"1543, win, 2.294806957244873","1543, win, 2.4388861656188965","1543, win, 2.4530909061431885"
medium classic(23521424),"1705, win, 2.7609803676605225","1705, win, 3.065098524093628","1698, win, 3.067396402359009"
medium classic(23521425),"1903, win, 3.0104012489318848","1903, win, 3.486083507537842","1688, win, 3.3189778327941895"
test classic( 23521421),"561, win, 1.1613445281982422","561, win, 1.1750481128692627","559, win, 1.1876397132873535"
test classic( 23521422),"557, win, 1.1661787033081055","557, win, 1.2042896747589111","557, win, 1.2155406475067139"
test classic( 23521423),"549, win, 1.192296028137207","549, win, 1.2385618686676025","561, win, 1.1841650009155273"
test classic( 23521424),"-499, loss, 1.08493971824646","-499, loss, 1.101736307144165","-497, loss, 1.0960009098052979"
test classic( 23521425),"561, win, 1.167637825012207","561, win, 1.1829464435577393","561, win, 1.2005770206451416"
power classic(23521421),"2865, win, 6.016572713851929","2865, win, 9.049036026000977","1862, win, 6.930486440658569"
power classic(23521422),"1510, win, 4.949602365493774","1510, win, 6.735820531845093","1111, win, 6.159541606903076"
power classic(23521423),"2268, win, 4.957549810409546","2268, win, 7.392526149749756","366, loss, 4.961523771286011"
power classic(23521424),"2869, win, 5.193290710449219","2869, win, 6.814060211181641","1898, win, 6.321489095687866"
power classic(23521425),"1502, win, 6.314326763153076","1502, win, 8.747381925582886","1534, win, 7.0340166091918945"
tricky classic(23521421),"2442, win, 16.01389765739441","2442, win, 25.033050298690796","2582, win, 35.78552603721619"
tricky classic(23521422),"1198, loss, 14.40521764755249","1198, loss, 26.08645486831665","1806, win, 24.582924365997314"
tricky classic(23521423),"1650, win, 15.37104320526123","1650, win, 22.171001195907593","1638, win, 34.11615037918091"
tricky classic(23521424),"1308, loss, 16.520543098449707","1308, loss, 29.444886207580566","2201, win, 22.631269931793213"
tricky classic(23521425),"-322, loss, 4.487882614135742","-322, loss, 7.22793984413147","-362, loss, 8.005659818649292"
contest classic(23521421),"1865, win, 2.5486466884613037","1865, win, 2.9023985862731934","1812, win, 3.6283786296844482"
contest classic(23521422),"1493, win, 2.436218500137329","1493, win, 2.6590375900268555","2000, win, 4.106660842895508"
contest classic(23521423),"1856, win, 2.6712465286254883","1856, win, 2.979978084564209","2210, win, 3.848423957824707"
contest classic(23521424),"783, loss, 2.720353364944458","783, loss, 3.1099727153778076","1594, win, 3.894534111022949"
contest classic(23521425),"1677, win, 2.477421283721924","1677, win, 2.7353813648223877","1820, win, 3.6596479415893555"
,,,
,,,
,,,
,,,
,alphabeta,minimax,expectimax
medium classic( 23521421),"-140, loss, 5.925870180130005","-140, loss, 6.871183633804321","128, loss, 4.082847595214844"
medium classic( 23521422),"-161, loss, 1.5477473735809326","-161, loss, 1.6115975379943848","333, loss, 3.898566246032715"
medium classic( 23521423),"-422, loss, 7.549378395080566","-422, loss, 8.811150789260864","-198, loss, 3.217586040496826"
medium classic( 23521424),"41, loss, 3.47926926612854","41, loss, 3.9143333435058594","-781, loss, 8.340965509414673"
medium classic( 23521425),"-665, loss, 10.390665531158447","-665, loss, 12.239197254180908","133, loss, 2.9846487045288086"
test classic( 23521421),"518, win, 1.2245090007781982","518, win, 1.2850453853607178","548, win, 1.1779060363769531"
test classic( 23521422),"infinite loop, ma không bắt pacman","infinite loop, ma không bắt pacman","562, win, 1.1192138195037842"
test classic( 23521423),"526, win, 1.177544355392456","526, win, 1.2178997993469238","560, win, 1.1254053115844727"
test classic( 23521424),"538, win, 1.1702117919921875","538, win, 1.2120156288146973","508, win, 1.2829253673553467"
test classic( 23521425),"552, win, 1.1235477924346924","552, win, 1.151916742324829","552, win, 1.1614325046539307"
power classic( 23521421),"2296, loss, 7.099449157714844","2296, loss, 12.00665545463562","-501, loss, 78.1387152671814"
power classic( 23521422),"1150, loss, 6.184284448623657","1150, loss, 10.409898042678833","1261, loss, 12.413796186447144"
power classic( 23521423),"981, loss, 5.20570969581604","981, loss, 8.322741508483887","-191, loss, 68.63315987586975"
power classic( 23521424),"208, loss, 2.663276433944702","208, loss, 3.758108139038086","397, loss, 11.135916233062744"
power classic( 23521425),"-250, loss, 4.524945020675659","-250, loss, 7.568579912185669","489, loss, 34.31569790840149"
tricky classic( 23521421),"238, loss, 12.425345182418823","238, loss, 22.92916774749756","-189, loss, 4.418254137039185"
tricky classic( 23521422),"1313, loss, 26.58048129081726","1313, loss, 55.599884271621704","1421, loss, 29.62616753578186"
tricky classic( 23521423),"1191, loss, 43.345176696777344","1191, loss, 83.50525879859924","453, loss, 11.0224928855896"
tricky classic( 23521424),"832, loss, 19.797443151474","832, loss, 35.90520691871643","-266, loss, 42.13588500022888"
tricky classic( 23521425),"-167, loss, 29.610733032226562","-167, loss, 56.42170715332031","-828, loss, 58.09081506729126"
contest classic( 23521421),"-284, loss, 2.681978464126587","-284, loss, 3.0070250034332275","261, loss, 4.678197383880615"
contest classic( 23521422),"-220, loss, 1.8217694759368896","-220, loss, 2.0845251083374023","513, loss, 3.1785266399383545"
contest classic( 23521423),"-156, loss, 1.5951766967773438","-156, loss, 1.731041431427002","-649, loss, 5.658922910690308"
contest classic( 23521424),"-256, loss, 2.4167416095733643","-256, loss, 2.7741916179656982","-679, loss, 8.282033205032349"
contest classic( 23521425),"359, loss, 4.073391437530518","359, loss, 5.061917781829834","-263, loss, 4.429476022720337"
